iter	Passed	Remaining
562	4023	3122
563	4033	3117
564	4035	3106
565	4036	3095
566	4038	3084
567	4045	3077
568	4048	3066
569	4050	3055
570	4053	3045
571	4060	3038
572	4109	3062
573	4111	3051
574	4115	3041
575	4117	3031
576	4119	3020
577	4121	3009
578	4124	2998
579	4126	2987
580	4129	2977
581	4135	2970
582	4137	2959
583	4139	2948
584	4142	2938
585	4202	2969
586	4204	2958
587	4206	2947
588	4209	2937
589	4211	2926
590	4217	2918
591	4219	2908
592	4221	2897
593	4223	2886
594	4225	2876
595	4231	2868
596	4234	2858
597	4236	2847
598	4238	2837
599	4240	2827
600	4247	2819
601	4250	2809
602	4252	2799
603	4254	2789
604	4256	2778
605	4258	2768
606	4261	2759
607	4263	2748
608	4265	2738
609	4267	2728
610	4277	2723
611	4279	2713
612	4281	2703
613	4297	2701
614	4299	2691
615	4301	2681
616	4303	2671
617	4306	2662
618	4309	2652
619	4316	2645
620	4319	2636
621	4321	2625
622	4322	2615
623	4324	2605
624	4327	2596
625	4332	2588
626	4354	2590
627	4356	2580
628	4359	2571
629	4361	2561
630	4364	2552
631	4367	2542
632	4369	2533
633	4371	2523
634	4373	2514
635	4376	2504
636	4378	2494
637	4381	2486
638	4388	2479
639	4407	2479
640	4410	2470
641	4412	2460
642	4423	2456
643	4427	2447
644	4433	2440
645	4435	2430
646	4437	2421
647	4455	2420
648	4457	2410
649	4460	2402
650	4463	2392
651	4465	2383
652	4467	2374
653	4470	2365
654	4473	2356
655	4478	2348
656	4483	2340
657	4486	2331
658	4490	2323
659	4493	2314
660	4495	2305
661	4498	2296
662	4501	2288
663	4506	2280
664	4509	2271
665	4561	2287
666	4563	2278
667	4565	2268
668	4566	2259
669	4575	2253
670	4577	2244
671	4579	2235
672	4586	2228
673	4588	2219
674	4589	2209
675	4592	2200
676	4594	2191
677	4596	2182
678	4601	2175
679	4627	2177
680	4673	2189
681	4675	2179
682	4677	2170
683	4682	2163
684	4684	2154
685	4686	2145
686	4688	2136
687	4691	2127
688	4694	2118
689	4698	2111
690	4700	2102
691	4702	2093
692	4706	2084
693	4721	2081
694	4723	2072
695	4725	2064
696	4731	2056
697	4733	2047
698	4735	2039
699	4737	2030
700	4739	2021
701	4745	2014
702	4746	2005
703	4749	1996
704	4751	1988
705	4753	1979
706	4755	1970
707	4783	1972
708	4786	1964
709	4792	1957
710	4794	1948
711	4796	1940
712	4801	1932
713	4803	1923
714	4805	1915
715	4807	1907
716	4810	1898
717	4812	1890
718	4819	1883
719	4821	1874
720	4824	1866
721	4843	1865
722	4846	1856
723	4848	1848
724	4851	1840
725	4853	1831
726	4855	1823
727	4858	1815
728	4872	1811
729	4874	1803
730	4879	1795
731	4881	1787
732	4884	1779
733	4887	1771
734	4896	1765
735	4919	1764
736	4921	1756
737	4928	1749
738	4930	1741
739	4932	1732
740	4934	1724
741	4936	1716
742	4938	1708
743	4941	1700
744	4944	1692
745	4945	1683
746	4970	1683
747	4973	1675
748	4993	1673
749	5000	1666
750	5002	1658
751	5005	1650
752	5016	1645
753	5018	1637
754	5019	1628
755	5021	1620
756	5023	1612
757	5026	1604
758	5032	1598
759	5035	1590
760	5037	1582
761	5040	1574
762	5046	1567
763	5048	1559
764	5050	1551
765	5052	1543
766	5054	1535
767	5060	1528
768	5094	1530
769	5096	1522
770	5098	1514
771	5100	1506
772	5102	1498
773	5152	1504
774	5154	1496
775	5157	1488
776	5161	1481
777	5163	1473
778	5166	1465
